Code,Gender,Age,Birthplace Latitude,Birthplace Longitude,Birthplace,Living Area Latitude,Living Area Longitude,Living Area,Additional
M019,male,25-29,41.768793,140.729008,北海道函館市,43.061936,141.3542924,札幌市,
M020,male,35-39,35.6945993,139.9825365,千葉県船橋市,35.1851045,136.8998438,愛知県名古屋市,
M021,male,40-44,35.6768601,139.7638947,東京都,35.1851045,136.8998438,名古屋市,１０歳〜２１歳：神奈川
M022,male,50-54,35.6768601,139.7638947,東京都,35.4503381,139.6343802,横浜市,
M023,male,20-24,34.822498,137.069626,愛知県西尾市,34.822498,137.069626,西尾市,
M024,male,20-24,35.4230949,136.7627526,岐阜県岐阜市,35.4230949,136.7627526,岐阜市,
M025,male,25,34.86505,136.984523,愛知県碧南市,34.9751974,138.3831697,静岡県静岡市,
M026,male,45-49,34.822498,137.069626,愛知県西尾市,34.822498,137.069626,愛知県西尾市,
M027,male,45-49,32.6450475,130.6341345,熊本県,35.139303,137.053708,愛知県日進市,１８歳まで熊本、大学時代は東京。
M028,male,60,35.6768601,139.7638947,東京都,35.6768601,139.7638947,東京都,
M029,male,45-49,33.5495987,132.6500056,愛媛県内子町,34.439552,132.679593,広島県八本松町,１８歳まで愛媛。
M030,male,25-29,35.021041,135.7556075,京都市,35.1851045,136.8998438,名古屋市,
M031,male,60-64,34.6039914,134.07472716327945,岡山県邑久郡,35.863999,140.0280653,千葉県我孫子市,４５歳から千葉県
M032,male,25-29,43.061936,141.3542924,北海道札幌市,43.061936,141.3542924,北海道札幌市,
M033,male,23,35.7089418,138.4461193,山梨県韮崎市,35.7089418,138.4461193,山梨県韮崎市,
M034,male,25-29,35.6663595,139.3163653,東京都八王子市,36.638392,127.6961188,韓国,１９歳まで東京。大学時代は京都。
M035,male,15-19,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,
M036,male,15-19,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,
M037,male,55-59,34.8991982,132.0799984,島根県浜田市,35.1851045,136.8998438,名古屋市,２８歳から愛知
